,type,name,salary,score,contract,include,exclude,locked,points,i
1,driver,Norris,28.6,155,,1.0,,False,828,8
3,driver,Hamilton,25.8,140,,,,False,828,8
4,driver,Piastri,24.4,131,,,,False,828,8
7,driver,Antonelli,20.2,120,,,,False,828,8
11,driver,Sainz,14.6,192,,1.0,,False,828,8
26,team,Williams,13.2,90,,1.0,,False,828,8
1,driver,Norris,28.6,155,,1.0,,False,813,6
2,driver,Leclerc,27.2,144,,,,False,813,6
4,driver,Piastri,24.4,131,,,,False,813,6
9,driver,Tsunoda,17.4,101,,,,False,813,6
11,driver,Sainz,14.6,192,,1.0,,False,813,6
26,team,Williams,13.2,90,,1.0,,False,813,6
1,driver,Norris,28.6,155,,1.0,,False,811,26
2,driver,Leclerc,27.2,144,,,,False,811,26
4,driver,Piastri,24.4,131,,,,False,811,26
10,driver,Gasly,16.0,99,,,,False,811,26
11,driver,Sainz,14.6,192,,1.0,,False,811,26
26,team,Williams,13.2,90,,1.0,,False,811,26
1,driver,Norris,28.6,155,,1.0,,False,808,7
2,driver,Leclerc,27.2,144,,,,False,808,7
3,driver,Hamilton,25.8,140,,,,False,808,7
11,driver,Sainz,14.6,192,,1.0,,False,808,7
26,team,Williams,13.2,90,,1.0,,False,808,7
13,driver,Albon,11.8,87,,,,False,808,7
1,driver,Norris,28.6,155,,1.0,,False,807,45
3,driver,Hamilton,25.8,140,,,,False,807,45
4,driver,Piastri,24.4,131,,,,False,807,45
10,driver,Gasly,16.0,99,,,,False,807,45
11,driver,Sainz,14.6,192,,1.0,,False,807,45
26,team,Williams,13.2,90,,1.0,,False,807,45
1,driver,Norris,28.6,155,,1.0,,False,801,63
2,driver,Leclerc,27.2,144,,,,False,801,63
5,driver,Russell,23.0,129,,,,False,801,63
11,driver,Sainz,14.6,192,,1.0,,False,801,63
12,driver,Ocon,13.2,91,,,,False,801,63
26,team,Williams,13.2,90,,1.0,,False,801,63
