,type,name,salary,score,contract,include,exclude,locked,points,i
26,team,Williams,13.2,90,,1.0,,False,743,9937
1,driver,Norris,28.6,155,,1.0,,False,743,9937
7,driver,Antonelli,20.2,120,,,,False,743,9937
8,driver,Alonso,18.8,111,,,,False,743,9937
11,driver,Sainz,14.6,192,,1.0,,False,743,9937
19,driver,Bortoleto,3.4,75,,,,False,743,9937
26,team,Williams,13.2,90,,1.0,,False,743,9885
1,driver,Norris,28.6,155,,1.0,,False,743,9885
3,driver,Hamilton,25.8,140,,,,False,743,9885
11,driver,Sainz,14.6,192,,1.0,,False,743,9885
12,driver,Ocon,13.2,91,,,,False,743,9885
19,driver,Bortoleto,3.4,75,,,,False,743,9885
26,team,Williams,13.2,90,,1.0,,False,743,9879
1,driver,Norris,28.6,155,,1.0,,False,743,9879
2,driver,Leclerc,27.2,144,,,,False,743,9879
11,driver,Sainz,14.6,192,,1.0,,False,743,9879
13,driver,Albon,11.8,87,,,,False,743,9879
19,driver,Bortoleto,3.4,75,,,,False,743,9879
26,team,Williams,13.2,90,,1.0,,False,743,9862
1,driver,Norris,28.6,155,,1.0,,False,743,9862
2,driver,Leclerc,27.2,144,,,,False,743,9862
11,driver,Sainz,14.6,192,,1.0,,False,743,9862
13,driver,Albon,11.8,87,,,,False,743,9862
19,driver,Bortoleto,3.4,75,,,,False,743,9862
26,team,Williams,13.2,90,,1.0,,False,743,9736
1,driver,Norris,28.6,155,,1.0,,False,743,9736
2,driver,Leclerc,27.2,144,,,,False,743,9736
11,driver,Sainz,14.6,192,,1.0,,False,743,9736
13,driver,Albon,11.8,87,,,,False,743,9736
19,driver,Bortoleto,3.4,75,,,,False,743,9736
26,team,Williams,13.2,90,,1.0,,False,743,9611
1,driver,Norris,28.6,155,,1.0,,False,743,9611
3,driver,Hamilton,25.8,140,,,,False,743,9611
11,driver,Sainz,14.6,192,,1.0,,False,743,9611
12,driver,Ocon,13.2,91,,,,False,743,9611
19,driver,Bortoleto,3.4,75,,,,False,743,9611
26,team,Williams,13.2,90,,1.0,,False,743,9561
1,driver,Norris,28.6,155,,1.0,,False,743,9561
2,driver,Leclerc,27.2,144,,,,False,743,9561
11,driver,Sainz,14.6,192,,1.0,,False,743,9561
13,driver,Albon,11.8,87,,,,False,743,9561
19,driver,Bortoleto,3.4,75,,,,False,743,9561
26,team,Williams,13.2,90,,1.0,,False,743,9499
1,driver,Norris,28.6,155,,1.0,,False,743,9499
7,driver,Antonelli,20.2,120,,,,False,743,9499
8,driver,Alonso,18.8,111,,,,False,743,9499
11,driver,Sainz,14.6,192,,1.0,,False,743,9499
19,driver,Bortoleto,3.4,75,,,,False,743,9499
26,team,Williams,13.2,90,,1.0,,False,743,9472
1,driver,Norris,28.6,155,,1.0,,False,743,9472
2,driver,Leclerc,27.2,144,,,,False,743,9472
11,driver,Sainz,14.6,192,,1.0,,False,743,9472
13,driver,Albon,11.8,87,,,,False,743,9472
19,driver,Bortoleto,3.4,75,,,,False,743,9472
26,team,Williams,13.2,90,,1.0,,False,743,9397
1,driver,Norris,28.6,155,,1.0,,False,743,9397
2,driver,Leclerc,27.2,144,,,,False,743,9397
11,driver,Sainz,14.6,192,,1.0,,False,743,9397
13,driver,Albon,11.8,87,,,,False,743,9397
19,driver,Bortoleto,3.4,75,,,,False,743,9397
26,team,Williams,13.2,90,,1.0,,False,743,9386
1,driver,Norris,28.6,155,,1.0,,False,743,9386
2,driver,Leclerc,27.2,144,,,,False,743,9386
11,driver,Sainz,14.6,192,,1.0,,False,743,9386
13,driver,Albon,11.8,87,,,,False,743,9386
19,driver,Bortoleto,3.4,75,,,,False,743,9386
26,team,Williams,13.2,90,,1.0,,False,743,9190
1,driver,Norris,28.6,155,,1.0,,False,743,9190
2,driver,Leclerc,27.2,144,,,,False,743,9190
11,driver,Sainz,14.6,192,,1.0,,False,743,9190
13,driver,Albon,11.8,87,,,,False,743,9190
19,driver,Bortoleto,3.4,75,,,,False,743,9190
26,team,Williams,13.2,90,,1.0,,False,743,9152
1,driver,Norris,28.6,155,,1.0,,False,743,9152
3,driver,Hamilton,25.8,140,,,,False,743,9152
11,driver,Sainz,14.6,192,,1.0,,False,743,9152
12,driver,Ocon,13.2,91,,,,False,743,9152
19,driver,Bortoleto,3.4,75,,,,False,743,9152
26,team,Williams,13.2,90,,1.0,,False,743,9131
1,driver,Norris,28.6,155,,1.0,,False,743,9131
3,driver,Hamilton,25.8,140,,,,False,743,9131
11,driver,Sainz,14.6,192,,1.0,,False,743,9131
12,driver,Ocon,13.2,91,,,,False,743,9131
19,driver,Bortoleto,3.4,75,,,,False,743,9131
26,team,Williams,13.2,90,,1.0,,False,743,9007
1,driver,Norris,28.6,155,,1.0,,False,743,9007
7,driver,Antonelli,20.2,120,,,,False,743,9007
8,driver,Alonso,18.8,111,,,,False,743,9007
11,driver,Sainz,14.6,192,,1.0,,False,743,9007
19,driver,Bortoleto,3.4,75,,,,False,743,9007
26,team,Williams,13.2,90,,1.0,,False,743,8900
1,driver,Norris,28.6,155,,1.0,,False,743,8900
7,driver,Antonelli,20.2,120,,,,False,743,8900
8,driver,Alonso,18.8,111,,,,False,743,8900
11,driver,Sainz,14.6,192,,1.0,,False,743,8900
19,driver,Bortoleto,3.4,75,,,,False,743,8900
26,team,Williams,13.2,90,,1.0,,False,743,8806
1,driver,Norris,28.6,155,,1.0,,False,743,8806
7,driver,Antonelli,20.2,120,,,,False,743,8806
8,driver,Alonso,18.8,111,,,,False,743,8806
11,driver,Sainz,14.6,192,,1.0,,False,743,8806
19,driver,Bortoleto,3.4,75,,,,False,743,8806
26,team,Williams,13.2,90,,1.0,,False,743,8756
1,driver,Norris,28.6,155,,1.0,,False,743,8756
3,driver,Hamilton,25.8,140,,,,False,743,8756
11,driver,Sainz,14.6,192,,1.0,,False,743,8756
12,driver,Ocon,13.2,91,,,,False,743,8756
19,driver,Bortoleto,3.4,75,,,,False,743,8756
26,team,Williams,13.2,90,,1.0,,False,743,8441
1,driver,Norris,28.6,155,,1.0,,False,743,8441
7,driver,Antonelli,20.2,120,,,,False,743,8441
8,driver,Alonso,18.8,111,,,,False,743,8441
11,driver,Sainz,14.6,192,,1.0,,False,743,8441
19,driver,Bortoleto,3.4,75,,,,False,743,8441
26,team,Williams,13.2,90,,1.0,,False,743,8383
1,driver,Norris,28.6,155,,1.0,,False,743,8383
2,driver,Leclerc,27.2,144,,,,False,743,8383
11,driver,Sainz,14.6,192,,1.0,,False,743,8383
13,driver,Albon,11.8,87,,,,False,743,8383
19,driver,Bortoleto,3.4,75,,,,False,743,8383
26,team,Williams,13.2,90,,1.0,,False,743,8289
1,driver,Norris,28.6,155,,1.0,,False,743,8289
3,driver,Hamilton,25.8,140,,,,False,743,8289
11,driver,Sainz,14.6,192,,1.0,,False,743,8289
12,driver,Ocon,13.2,91,,,,False,743,8289
19,driver,Bortoleto,3.4,75,,,,False,743,8289
26,team,Williams,13.2,90,,1.0,,False,743,8285
1,driver,Norris,28.6,155,,1.0,,False,743,8285
2,driver,Leclerc,27.2,144,,,,False,743,8285
11,driver,Sainz,14.6,192,,1.0,,False,743,8285
13,driver,Albon,11.8,87,,,,False,743,8285
19,driver,Bortoleto,3.4,75,,,,False,743,8285
26,team,Williams,13.2,90,,1.0,,False,743,8248
1,driver,Norris,28.6,155,,1.0,,False,743,8248
7,driver,Antonelli,20.2,120,,,,False,743,8248
8,driver,Alonso,18.8,111,,,,False,743,8248
11,driver,Sainz,14.6,192,,1.0,,False,743,8248
19,driver,Bortoleto,3.4,75,,,,False,743,8248
26,team,Williams,13.2,90,,1.0,,False,743,8173
1,driver,Norris,28.6,155,,1.0,,False,743,8173
3,driver,Hamilton,25.8,140,,,,False,743,8173
11,driver,Sainz,14.6,192,,1.0,,False,743,8173
12,driver,Ocon,13.2,91,,,,False,743,8173
19,driver,Bortoleto,3.4,75,,,,False,743,8173
26,team,Williams,13.2,90,,1.0,,False,743,8019
1,driver,Norris,28.6,155,,1.0,,False,743,8019
3,driver,Hamilton,25.8,140,,,,False,743,8019
11,driver,Sainz,14.6,192,,1.0,,False,743,8019
12,driver,Ocon,13.2,91,,,,False,743,8019
19,driver,Bortoleto,3.4,75,,,,False,743,8019
