,type,name,salary,score,include
26,team,Williams,13.2,90,1.0
1,driver,Norris,28.6,155,1.0
0,driver,Leclerc,27.2,144,
0,driver,Leclerc,27.2,144,
0,driver,Leclerc,27.2,144,
0,driver,Leclerc,27.2,144,
0,driver,Leclerc,27.2,144,
0,driver,Leclerc,27.2,144,
0,driver,Leclerc,27.2,144,
1,driver,Hamilton,25.8,140,
1,driver,Hamilton,25.8,140,
1,driver,Hamilton,25.8,140,
2,driver,Piastri,24.4,131,
4,driver,Antonelli,20.2,120,
5,driver,Alonso,18.8,111,
11,driver,Sainz,14.6,96,1.0
8,driver,Ocon,13.2,91,
8,driver,Ocon,13.2,91,
9,driver,Albon,11.8,87,
10,driver,Bearman,10.4,84,
10,driver,Bearman,10.4,84,
10,driver,Bearman,10.4,84,
11,driver,Hadjar,9.0,82,
11,driver,Hadjar,9.0,82,
12,driver,Hulkenberg,7.6,79,
13,driver,Stroll,6.2,78,
13,driver,Stroll,6.2,78,
13,driver,Stroll,6.2,78,
14,driver,Doohan,4.8,77,
14,driver,Doohan,4.8,77,
15,driver,Bortoleto,3.4,75,
15,driver,Bortoleto,3.4,75,
15,driver,Bortoleto,3.4,75,
15,driver,Bortoleto,3.4,75,
